Unnamed,Date,Stock_symbol,sentiment_score,sentiment_label
12201.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12202.0,2023-12-07 00:00:00 UTC,AAPL,0.6369,positive
12203.0,2023-12-07 00:00:00 UTC,AAPL,-0.0258,neutral
12204.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12205.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12206.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12207.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12208.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12209.0,2023-12-07 00:00:00 UTC,AAPL,0.2057,positive
12210.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12211.0,2023-12-07 00:00:00 UTC,AAPL,0.7096,positive
12212.0,2023-12-07 00:00:00 UTC,AAPL,0.34,positive
12213.0,2023-12-07 00:00:00 UTC,AAPL,0.4019,positive
12214.0,2023-12-07 00:00:00 UTC,AAPL,-0.4404,negative
12215.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12216.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12217.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12218.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12219.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12220.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12221.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12222.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12223.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12224.0,2023-12-06 00:00:00 UTC,AAPL,0.5574,positive
12225.0,2023-12-06 00:00:00 UTC,AAPL,0.4576,positive
12226.0,2023-12-06 00:00:00 UTC,AAPL,0.8316,positive
12227.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12228.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12229.0,2023-12-06 00:00:00 UTC,AAPL,-0.5423,negative
12230.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12231.0,2023-12-06 00:00:00 UTC,AAPL,0.7096,positive
12232.0,2023-12-06 00:00:00 UTC,AAPL,0.4767,positive
12233.0,2023-12-06 00:00:00 UTC,AAPL,0.296,positive
12234.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12235.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12236.0,2023-12-06 00:00:00 UTC,AAPL,0.0,neutral
12237.0,2023-12-06 00:00:00 UTC,AAPL,0.6369,positive
12238.0,2023-12-05 00:00:00 UTC,AAPL,0.0,neutral
12239.0,2023-12-05 00:00:00 UTC,AAPL,0.0,neutral
12240.0,2023-12-05 00:00:00 UTC,AAPL,0.0,neutral
12241.0,2023-12-05 00:00:00 UTC,AAPL,0.0,neutral
12242.0,2023-12-05 00:00:00 UTC,AAPL,0.0,neutral
12243.0,2023-12-05 00:00:00 UTC,AAPL,0.3818,positive
12244.0,2023-12-05 00:00:00 UTC,AAPL,0.0,neutral
12245.0,2023-12-05 00:00:00 UTC,AAPL,0.0,neutral
12246.0,2023-12-05 00:00:00 UTC,AAPL,0.4576,positive
12247.0,2023-12-05 00:00:00 UTC,AAPL,0.4404,positive
